treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
000433c54653efa9a040c1a0e79d63bf	4.499	0.7739	1.1376	4.499	0.7739	0.1264	35.5929	6.1228	NA	2e-04	0.0353	NA	7e-04	0.0794	NA
00089b46831e8ef8664d2a632b8145c5	0.0255	2.9711	2.3456	0.0255	2.9711	0.2606	0.098	11.4	NA	0.7614	0.0082	NA	0.7802	0.026	NA
002707428636a815354367f102120956	4.3943	0.016	0.5283	4.3943	0.016	0.0587	74.8612	0.2726	NA	0	0.6142	NA	2e-04	0.7155	NA
002f1a45b5c69d673731dd633504a01e	5.2019	0.4782	2.6044	5.2019	0.4782	0.2894	17.9763	1.6525	NA	0.0022	0.2307	NA	0.0037	0.34	NA
00361d4ec0f6bc9593b3365b7718c95b	28.9155	9e-04	1.4977	28.9155	9e-04	0.1664	173.7585	0.0053	NA	0	0.9434	NA	1e-04	0.9616	NA
0036d59b9c2c58b22fd5945b4aa3f348	10.8125	0.2306	2.8274	10.8125	0.2306	0.3142	34.418	0.734	NA	2e-04	0.4138	NA	7e-04	0.5326	NA
0046281d7bcee40b30209fff59cb8a72	0.5293	0.8128	1.2131	0.5293	0.8128	0.1348	3.9269	6.03	NA	0.0789	0.0364	NA	0.0952	0.0813	NA
005c9aeb0fcf676d0c82c53e266f6c7e	2.0631	2.0999	0.5685	2.0631	2.0999	0.0632	32.6626	33.2461	NA	3e-04	3e-04	NA	8e-04	0.0023	NA
005e34772346d65b74ff2f90ea4ec0ee	9.2439	0.6832	1.9312	9.2439	0.6832	0.2146	43.0807	3.1841	NA	1e-04	0.108	NA	5e-04	0.1891	NA
008277a5fd42cb04f88c34a26df200ce	2.5208	0.3271	0.6509	2.5208	0.3271	0.0723	34.8535	4.5224	NA	2e-04	0.0624	NA	7e-04	0.1224	NA
00a0854286a925a7b381be83b1a83ae6	12.3709	3.9696	1.8704	12.3709	3.9696	0.2078	59.5279	19.1014	NA	0	0.0018	NA	3e-04	0.0087	NA
00b05a391e262ebf75433a5901c94f69	9.044	0.2602	1.0375	9.044	0.2602	0.1153	78.4573	2.257	NA	0	0.1673	NA	2e-04	0.2653	NA
00b65cc09893d47765ac0925658ae35e	2.7851	0.0677	1.7584	2.7851	0.0677	0.1954	14.255	0.3465	NA	0.0044	0.5706	NA	0.0067	0.6789	NA
00c799f63b8289b2b606e7f2e056cf59	10.8752	0.0354	8.5502	10.8752	0.0354	0.95	11.4473	0.0373	NA	0.0081	0.8512	NA	0.0116	0.8983	NA
00f6d2cccf1735abedc75afff481ba2d	5.6183	0.0133	1.6054	5.6183	0.0133	0.1784	31.4973	0.0747	NA	3e-04	0.7908	NA	9e-04	0.852	NA
0104f91f1cc33e553be3bfc68a517ce7	6.293	0.2059	0.793	6.293	0.2059	0.0881	71.4223	2.3368	NA	0	0.1607	NA	2e-04	0.2579	NA
010f0a7d84a28949c78be5930457dabc	0.2108	0.4254	0.3017	0.2108	0.4254	0.0335	6.2879	12.6906	NA	0.0334	0.0061	NA	0.0431	0.0209	NA
01383a16d0d8314d5b7f3ee30ff5cbcb	9.8724	3.1816	0.7112	9.8724	3.1816	0.079	124.9395	40.2653	NA	0	1e-04	NA	1e-04	0.0014	NA
013c73c0e5fa3c156721aa03c5399a7c	1.2455	3.5595	0.6363	1.2455	3.5595	0.0707	17.6164	50.347	NA	0.0023	1e-04	NA	0.0039	8e-04	NA
014e0244ce0227c40879daa0bae73ee2	2.172	1.5805	0.7451	2.172	1.5805	0.0828	26.2339	19.0894	NA	6e-04	0.0018	NA	0.0014	0.0087	NA
0151c42d80ce82208338bda9346e4c21	6.2659	11.142	1.6803	6.2659	11.142	0.1867	33.5622	59.6801	NA	3e-04	0	NA	8e-04	6e-04	NA
01532d9e56ecb072ab5a8eaa9b39de5c	0.9164	0.1206	0.9616	0.9164	0.1206	0.1068	8.5764	1.1283	NA	0.0168	0.3158	NA	0.0228	0.4322	NA
016131c962c5b8b9fa691ffd928a7ad7	4.1204	0.2317	0.7741	4.1204	0.2317	0.086	47.904	2.6932	NA	1e-04	0.1352	NA	4e-04	0.2249	NA
01643e1758a1b348e7e88641bbf23f77	3.1968	0.2785	2.8678	3.1968	0.2785	0.3186	10.0326	0.8739	NA	0.0114	0.3743	NA	0.0159	0.4924	NA
01736729cfb0d535468b43ecf6f2282f	0.3574	0.6225	0.355	0.3574	0.6225	0.0394	9.0617	15.7832	NA	0.0147	0.0032	NA	0.0202	0.0134	NA
01748fb97de74d17bdb942aeaa74a1aa	1.8317	0.4415	0.7824	1.8317	0.4415	0.0869	21.0705	5.0791	NA	0.0013	0.0507	NA	0.0024	0.1046	NA
017752e0b75ffd85768e83da08df6f06	1.5638	2.4736	1.0614	1.5638	2.4736	0.1179	13.2597	20.9744	NA	0.0054	0.0013	NA	0.0081	0.0069	NA
018166381b3825f4433929cd661c73b1	0.3216	6.9314	2.2631	0.3216	6.9314	0.2515	1.2789	27.5647	NA	0.2873	5e-04	NA	0.3164	0.0036	NA
0182ca831bc0b9e8f908b44bfae38c2f	4.9982	0.4051	1.0293	4.9982	0.4051	0.1144	43.7039	3.5419	NA	1e-04	0.0925	NA	5e-04	0.1676	NA
01b59402bea919155f2b72585914dc28	1.7078	4.378	0.801	1.7078	4.378	0.089	19.1897	49.1938	NA	0.0018	1e-04	NA	0.0031	9e-04	NA
01ba5a538d3091e6f291367ab4c114de	0.2686	9.2462	1.7868	0.2686	9.2462	0.1985	1.3531	46.5736	NA	0.2746	1e-04	NA	0.304	0.001	NA
01bea577aa60b2f19561a6239f841214	11.494	0.147	1.6928	11.494	0.147	0.1881	61.1082	0.7817	NA	0	0.3996	NA	3e-04	0.5188	NA
01d02aad8a625053d2284c0580b85fc2	1.3523	1.121	0.7728	1.3523	1.121	0.0859	15.748	13.054	NA	0.0033	0.0056	NA	0.0052	0.0198	NA
01ec87fc65833175cd78632f91b9c013	4.8428	2.2	3.5138	4.8428	2.2	0.3904	12.4042	5.6351	NA	0.0065	0.0416	NA	0.0096	0.0905	NA
01eeb07eabe250603ae069b7c9a1b78a	15.8091	0.2958	2.4218	15.8091	0.2958	0.2691	58.7499	1.0991	NA	0	0.3218	NA	3e-04	0.4376	NA
01f0a8d66a3f6ce7f33c54275e96b372	0.0779	1.3837	1.8857	0.0779	1.3837	0.2095	0.3716	6.6043	NA	0.5572	0.0302	NA	0.5876	0.0705	NA
01f55d0674a1fc462804f5dcf6ed0312	0.9156	2e-04	5.2363	0.9156	2e-04	0.5818	1.5737	3e-04	NA	0.2413	0.9867	NA	0.2693	0.9917	NA
021b2869c2627d813d2146e5a70b97da	0.0858	0.0012	4.0408	0.0858	0.0012	0.449	0.1912	0.0028	NA	0.6723	0.9593	NA	0.6973	0.9725	NA
021c5fad1f1dcf7f5a8f2180e695338d	2.1648	0.056	0.9107	2.1648	0.056	0.1012	21.3932	0.5536	NA	0.0012	0.4758	NA	0.0023	0.593	NA
022ffb62b99d7950cce0c04b7db390a5	5.9998	0	0.9637	5.9998	0	0.1071	56.033	0	NA	0	0.9949	NA	3e-04	0.9964	NA
023e44ea52bc5f894fd36692e0df6ef5	0.0528	16.7693	0.4087	0.0528	16.7693	0.0454	1.162	369.3162	NA	0.3091	0	NA	0.3389	0	NA
023fa2f94fb9dae88485aa96f3adc67d	11.3529	0.0871	2.4688	11.3529	0.0871	0.2743	41.387	0.3177	NA	1e-04	0.5868	NA	5e-04	0.6938	NA
0241e3fe915ef4b4685394ee622017ad	3.5507	1.4504	4.9793	3.5507	1.4504	0.5533	6.418	2.6216	NA	0.0321	0.1399	NA	0.0414	0.2309	NA
02632bbf33fcd49fdcb327ffb53492a5	5.0823	7.7042	2.505	5.0823	7.7042	0.2783	18.26	27.6799	NA	0.0021	5e-04	NA	0.0035	0.0036	NA
02732f74813ddeb7926f68edd6501d34	0.1221	0.411	3.2889	0.1221	0.411	0.3654	0.334	1.1247	NA	0.5775	0.3165	NA	0.6076	0.433	NA
029ac96df8a3842cd51b0e24cb25d147	30.1871	12.5374	2.3274	30.1871	12.5374	0.2586	116.7317	48.4815	NA	0	1e-04	NA	1e-04	9e-04	NA
02a7f8b0c2948b30f12e8f1ba0c89a9c	4.8859	5.0192	0.9966	4.8859	5.0192	0.1107	44.1225	45.3256	NA	1e-04	1e-04	NA	5e-04	0.0011	NA
02c5ba36522584f868e4d3548c1e02af	5.0473	1.5498	1.122	5.0473	1.5498	0.1247	40.4876	12.432	NA	1e-04	0.0065	NA	5e-04	0.0218	NA
02d5baf4915b88cd26c96b95b5015208	0.6509	4.4291	5.5806	0.6509	4.4291	0.6201	1.0497	7.1429	NA	0.3323	0.0255	NA	0.3625	0.0624	NA
02de9d9c220bb2b88a240926da4a39e9	2.5535	0.5353	1.5015	2.5535	0.5353	0.1668	15.3053	3.2082	NA	0.0036	0.1069	NA	0.0056	0.1874	NA
02f7ae8d3ebef446b8cdc7951ccb98e4	31.7933	0.0029	4.007	31.7933	0.0029	0.4452	71.4107	0.0066	NA	0	0.9372	NA	2e-04	0.9572	NA
02f81e70a39d7aabe08a9bb96d7eda18	1.6745	0.5745	2.1895	1.6745	0.5745	0.2433	6.8834	2.3617	NA	0.0276	0.1587	NA	0.0362	0.2556	NA
02f912093302ca91c654dcb1dfdce08e	3.9722	5.2068	4.8947	3.9722	5.2068	0.5439	7.3038	9.5739	NA	0.0243	0.0128	NA	0.0321	0.037	NA
02fc99024f1d6416a67768753b4d0db4	6.4475	0.716	0.936	6.4475	0.716	0.104	61.9936	6.8846	NA	0	0.0276	NA	3e-04	0.0662	NA
0308e44d8c5c89fef7d2aa63090a9a8c	15.5411	15.3872	10.6683	15.5411	15.3872	1.1854	13.1108	12.981	NA	0.0056	0.0057	NA	0.0084	0.02	NA
0316f5eb4d9b051e65b40cebf08edbba	0.0024	0.3619	0.6538	0.0024	0.3619	0.0726	0.0332	4.9822	NA	0.8596	0.0525	NA	0.8718	0.1071	NA
033d19faa0ce86082c0215df5bffbdb5	3.9384	7.6977	1.1591	3.9384	7.6977	0.1288	30.5813	59.7712	NA	4e-04	0	NA	9e-04	6e-04	NA
03522a86e8b54bd9508023e65e04dfd1	9.5964	0.0062	0.8531	9.5964	0.0062	0.0948	101.2367	0.0653	NA	0	0.804	NA	1e-04	0.8615	NA
03576e58e1c6ff8ce50c0fadbbf4860b	0.0248	0.0861	1.5279	0.0248	0.0861	0.1698	0.146	0.5071	NA	0.7113	0.4944	NA	0.7341	0.6092	NA
035ad00cb4268363afb29c9db102e959	0.1612	0.427	1.6025	0.1612	0.427	0.1781	0.9054	2.398	NA	0.3662	0.1559	NA	0.3966	0.2523	NA
0362c5f6815777388ea02ff51947c85e	11.9244	7.6642	2.2708	11.9244	7.6642	0.2523	47.2608	30.376	NA	1e-04	4e-04	NA	4e-04	0.0028	NA
0366632c1fdcf16e8c7b8699f543b6a6	8.5325	1.6162	2.5247	8.5325	1.6162	0.2805	30.4168	5.7613	NA	4e-04	0.0399	NA	9e-04	0.0875	NA
036fd95372a59cb54c18db11e833a6e5	0.0616	24.5367	2.9536	0.0616	24.5367	0.3282	0.1877	74.7676	NA	0.675	0	NA	0.6998	4e-04	NA
037629b625ef6f2c028855723fc4c92a	1.6252	1.0935	1.0159	1.6252	1.0935	0.1129	14.3976	9.6871	NA	0.0043	0.0125	NA	0.0066	0.0362	NA
0386c2c39453985371b1e0a028dae5bd	7.4151	0.4972	4.4087	7.4151	0.4972	0.4899	15.1373	1.015	NA	0.0037	0.34	NA	0.0058	0.4568	NA
03a7140d58c2f4370a116f4370db71b2	49.1701	9.3689	1.6441	49.1701	9.3689	0.1827	269.1581	51.2856	NA	0	1e-04	NA	0	8e-04	NA
03aa788c08141e567920d07949ef1597	2.7567	0.5552	0.5671	2.7567	0.5552	0.063	43.7527	8.8122	NA	1e-04	0.0157	NA	5e-04	0.0435	NA
03c3804b27717d58097d438f97396ac2	3.5687	1e-04	0.876	3.5687	1e-04	0.0973	36.6642	5e-04	NA	2e-04	0.9821	NA	6e-04	0.989	NA
03c8db48682689471210f0607196e83c	2.6163	0	5.6459	2.6163	0	0.6273	4.1705	0	NA	0.0715	0.9973	NA	0.0869	0.9974	NA
03da340fa78754e2795a0ac0a6ac03e6	0.7027	1.1665	1.4619	0.7027	1.1665	0.1624	4.326	7.1815	NA	0.0673	0.0252	NA	0.0823	0.0619	NA
03e3fa5681989615172a9cbfa48c2700	7.8919	2.1958	2.1871	7.8919	2.1958	0.243	32.4759	9.0359	NA	3e-04	0.0148	NA	8e-04	0.0415	NA
03f1014e7b49b7d27f67c5e9d6cf9f5a	7.3961	4.0065	2.0281	7.3961	4.0065	0.2253	32.821	17.7794	NA	3e-04	0.0023	NA	8e-04	0.0103	NA
03f189aa58435a27b6de7eb961b20307	0.6703	0.5652	1.4374	0.6703	0.5652	0.1597	4.1969	3.5387	NA	0.0708	0.0926	NA	0.0861	0.1676	NA
03f6204f70f7051b6767b3afeff3de7c	8.0675	0.2986	2.8672	8.0675	0.2986	0.3186	25.3233	0.9373	NA	7e-04	0.3583	NA	0.0015	0.4765	NA
040d33a988e7004112ecdeb4e029b32f	2.4168	7.6942	3.4302	2.4168	7.6942	0.3811	6.3411	20.1875	NA	0.0329	0.0015	NA	0.0424	0.0076	NA
041bbd4d12f584ed2910f0d66095d99e	7.1805	4.7941	1.0518	7.1805	4.7941	0.1169	61.4395	41.0198	NA	0	1e-04	NA	3e-04	0.0014	NA
041ea541f1c4f5b3ffdc193464a3c139	9.8097	2.1575	2.3833	9.8097	2.1575	0.2648	37.0444	8.1472	NA	2e-04	0.019	NA	6e-04	0.05	NA
04327e5022331564cf8543999a1eac1e	22.4361	0.4053	1.6865	22.4361	0.4053	0.1874	119.727	2.1629	NA	0	0.1755	NA	1e-04	0.2756	NA
043aab733df943204ad5f00be077291c	5.5835	1.721	1.5699	5.5835	1.721	0.1744	32.0091	9.8664	NA	3e-04	0.0119	NA	8e-04	0.035	NA
0445b4e8e7b7b2d747e4176d95f1c3c0	7.5495	0.0996	0.9966	7.5495	0.0996	0.1107	68.1784	0.8991	NA	0	0.3678	NA	3e-04	0.4852	NA
044b108900bd9e292eb1f198df318155	1.6011	1.7143	0.7885	1.6011	1.7143	0.0876	18.2756	19.5688	NA	0.0021	0.0017	NA	0.0035	0.0082	NA
0468f59da37cad8e1d8dc328ddff8811	3.2203	0.1682	0.8302	3.2203	0.1682	0.0922	34.9115	1.8235	NA	2e-04	0.2099	NA	7e-04	0.3172	NA
04a48bc130a4ad3b04ea1cd490215ce1	0.7053	0.2624	1.7095	0.7053	0.2624	0.1899	3.7133	1.3814	NA	0.0861	0.27	NA	0.1035	0.3808	NA
04b37ccdd6e4699da4b30b6a6a161fef	5.6075	2.6063	16.3653	5.6075	2.6063	1.8184	3.0838	1.4333	NA	0.113	0.2618	NA	0.1329	0.3722	NA
04b3f982d45ed5636c7656368ca1db01	3.2151	0.8619	0.5715	3.2151	0.8619	0.0635	50.6279	13.5728	NA	1e-04	0.005	NA	4e-04	0.0185	NA
04b69b90896eaa7afbb7691c104405b0	13.4374	0.0371	5.4261	13.4374	0.0371	0.6029	22.2879	0.0615	NA	0.0011	0.8097	NA	0.0021	0.8656	NA
04c4e57c46ca8bf11cdf9eb198513e84	6.9803	9.4063	1.0275	6.9803	9.4063	0.1142	61.1402	82.3902	NA	0	0	NA	3e-04	3e-04	NA
04cef292ee0cff68868246ddf95d083d	1.8794	0.6427	0.8344	1.8794	0.6427	0.0927	20.2712	6.9317	NA	0.0015	0.0272	NA	0.0027	0.0656	NA
04dc810c48723d4a484129713b3e337f	0.9459	2.2327	0.8333	0.9459	2.2327	0.0926	10.2162	24.1137	NA	0.0109	8e-04	NA	0.0153	0.0049	NA
04f1ced8ad0e946accff2a2b496ddfe3	9.0079	0.809	1.4403	9.0079	0.809	0.16	56.2878	5.0554	NA	0	0.0511	NA	3e-04	0.1053	NA
04f44c2366540d5c4c45d7d748a4d4cc	6.8572	0.0203	1.2957	6.8572	0.0203	0.144	47.6308	0.1408	NA	1e-04	0.7162	NA	4e-04	0.7954	NA
04fbd5fe46912524de63a47ead8f613c	0.3948	0.4941	1.0425	0.3948	0.4941	0.1158	3.4086	4.2661	NA	0.0979	0.0689	NA	0.1164	0.1325	NA
05120e5315dcf41d9ba43d1fe9a8ebe0	3.8839	0.2328	9.6899	3.8839	0.2328	1.0767	3.6074	0.2162	NA	0.09	0.653	NA	0.1077	0.7461	NA
0518fb4aa3e6bc13f085feb43a8bbe7e	1.3518	0.0042	0.4383	1.3518	0.0042	0.0487	27.7557	0.0852	NA	5e-04	0.777	NA	0.0012	0.8422	NA
053688555df31be6aa7b8a21f3d0b7c2	4.3389	9.8869	1.0705	4.3389	9.8869	0.1189	36.4776	83.1197	NA	2e-04	0	NA	6e-04	3e-04	NA
05460fe37a7f6b06985d2bb10fec282b	3.0991	2.2812	0.3942	3.0991	2.2812	0.0438	70.7615	52.0876	NA	0	0	NA	2e-04	8e-04	NA
055582bf87abfc587b152016a37adea2	16.3369	19.644	3.4456	16.3369	19.644	0.3828	42.673	51.3112	NA	1e-04	1e-04	NA	5e-04	8e-04	NA
0586aaf9e2db94ce68674fcfc109de01	1.5564	6.0682	1.1683	1.5564	6.0682	0.1298	11.9899	46.746	NA	0.0071	1e-04	NA	0.0104	0.001	NA
05871147ff12b16b162fac81396e211a	0.2991	0.8022	1.6062	0.2991	0.8022	0.1785	1.6759	4.4947	NA	0.2277	0.063	NA	0.2554	0.1236	NA
059f46cc760a6f4330ae67c7a1edffe4	5.6748	1.0928	1.458	5.6748	1.0928	0.162	35.0292	6.7457	NA	2e-04	0.0289	NA	7e-04	0.0683	NA
05b0dee66b0a70f529ddb70ec3be9155	14.0662	7.2643	4.5846	14.0662	7.2643	0.5094	27.6133	14.2606	NA	5e-04	0.0044	NA	0.0012	0.0168	NA
05b5b9f513a86c3fc939918fcfb060f8	8.6466	0.3533	1.3264	8.6466	0.3533	0.1474	58.668	2.3972	NA	0	0.156	NA	3e-04	0.2523	NA
05db447f5d09ea1e6ea1697bc67c868d	2.956	0.3688	0.4049	2.956	0.3688	0.045	65.7113	8.1978	NA	0	0.0187	NA	3e-04	0.0495	NA
05dfade82ae64d4b1a7791a874417099	0.4728	0	0.5592	0.4728	0	0.0621	7.6084	4e-04	NA	0.0222	0.985	NA	0.0296	0.9903	NA
0601ba88d2b9420350741fd55855a7c4	0.4049	7.1035	1.7772	0.4049	7.1035	0.1975	2.0506	35.9731	NA	0.1859	2e-04	NA	0.2116	0.0018	NA
061edc9ce858b57eac0de0a1fd8cdf5a	7.9399	13.8829	2.4478	7.9399	13.8829	0.272	29.1931	51.0439	NA	4e-04	1e-04	NA	0.001	8e-04	NA
06220f788e0509913aea59f799a45f49	3.4675	6.5561	2.3087	3.4675	6.5561	0.2565	13.517	25.5573	NA	0.0051	7e-04	NA	0.0077	0.0043	NA
063da9643ee1ee049f0830fceebfccd3	4.8712	1.2429	1.4481	4.8712	1.2429	0.1609	30.2738	7.7244	NA	4e-04	0.0214	NA	0.001	0.0543	NA
064c5e95d0c67527732fe85f85708295	1.4612	0.022	2.2963	1.4612	0.022	0.2551	5.7268	0.0863	NA	0.0404	0.7756	NA	0.051	0.8414	NA
065891dd8cac4716e430bbab4ac6b98f	2.1266	1.1757	5.8112	2.1266	1.1757	0.6457	3.2936	1.8209	NA	0.1029	0.2102	NA	0.122	0.3175	NA
