treatment_SS	species_SS	Residuals_SS	treatment_MeanSq	species_MeanSq	Residuals_MeanSq	treatment_F	species_F	Residuals_F	treatment_pvalue	species_pvalue	Residuals_pvalue	treatment_pvalue.adj	species_pvalue.adj	Residuals_pvalue.adj
0017fe1f3ebeebeb2783b69b6ce6815a	4.574	1.2588	6.3322	4.574	0.6294	0.4871	9.3905	1.2921	NA	0.009	0.3077	NA	0.0131	0.342	NA
002861a72226ea57067f3c051d2d1799	6.4404	10.4685	3.1236	6.4404	5.2342	0.2403	26.8044	21.7844	NA	2e-04	1e-04	NA	4e-04	4e-04	NA
0153a1f57cba588bcc28845aa54d5b25	2.7472	3.6339	2.1764	2.7472	1.817	0.1674	16.4089	10.8528	NA	0.0014	0.0017	NA	0.0024	0.0044	NA
0178d78645f5380df04fdafef7a3e492	4.3211	6.2352	2.0468	4.3211	3.1176	0.1574	27.4454	19.8015	NA	2e-04	1e-04	NA	4e-04	6e-04	NA
01b13221b450af7fc4e6a3c7a9a12fe0	10.3889	9.5962	1.726	10.3889	4.7981	0.1328	78.2466	36.1381	NA	0	0	NA	0	1e-04	NA
01bca72f3c43238d533a3eea1ff39cd4	0.0299	1.8848	3.0855	0.0299	0.9424	0.2373	0.1259	3.9704	NA	0.7284	0.0451	NA	0.7505	0.0658	NA
01d167a6dbdb0cbe980b5f2ea54e71fd	14.395	2.8037	1.5713	14.395	1.4019	0.1209	119.0959	11.5981	NA	0	0.0013	NA	0	0.0036	NA
02a8f82f0c32bc0d6af3a27415523d03	12.7303	1.3747	2.7873	12.7303	0.6874	0.2144	59.374	3.2059	NA	0	0.0738	NA	0	0.0982	NA
02cb0462cfa6235b205d5a7b9e0db1cd	1.6089	1.4927	0.3508	1.6089	0.7464	0.027	59.6274	27.661	NA	0	0	NA	0	2e-04	NA
030f9394d4a6b0be677c35849676d575	17.6963	0.8286	1.6632	17.6963	0.4143	0.1279	138.3158	3.2383	NA	0	0.0722	NA	0	0.0967	NA
03ec6aa1fb530f3bb3fa3b994be9bf36	6.5109	0.9819	3.2374	6.5109	0.491	0.249	26.1446	1.9714	NA	2e-04	0.1787	NA	4e-04	0.2112	NA
03f20837ac22d72ee3fafdf1f4e68653	8.7741	14.9892	1.8979	8.7741	7.4946	0.146	60.1005	51.3359	NA	0	0	NA	0	0	NA
0411d28ec5eaa6eb89f5622cdd93c17c	7.1365	0.3439	9.5077	7.1365	0.172	0.7314	9.7578	0.2351	NA	0.0081	0.7938	NA	0.0118	0.8078	NA
